frame index,label
0,Neck Identification
1,Neck Identification
2,Neck Identification
3,Neck Identification
4,Neck Identification
5,Neck Identification
6,Neck Identification
7,Neck Identification
8,Neck Identification
9,Neck Identification
10,Neck Identification
11,Neck Identification
12,Neck Identification
13,Neck Identification
14,Neck Identification
15,Neck Identification
16,Neck Identification
17,Neck Identification
18,Dome Identification
19,Dome Identification
20,Dome Identification
21,Dome Identification
22,Dome Identification
23,Dome Identification
24,Dome Identification
25,Dome Identification
26,Dome Identification
27,Dome Identification
28,Dome Identification
29,Dome Identification
30,Dome Identification
31,Dome Identification
32,Dome Identification
33,Dome Identification
34,Dome Identification
35,Dome Identification
36,Dome Identification
37,Dome Identification
38,Dome Identification
39,Dome Identification
40,Dome Identification
41,Dome Identification
42,Dome Identification
43,Dome Identification
44,Dome Identification
45,Dome Identification
46,Dome Identification
47,Dome Identification
48,Dome Identification
49,Dome Identification
50,Dome Identification
51,Dome Identification
52,Dome Identification
53,Dome Identification
54,Dome Identification
55,Dome Identification
56,Dome Identification
57,Dome Identification
58,Dome Identification
59,Dome Identification
60,Dome Identification
61,Dome Identification
62,Dome Identification
63,Dome Identification
64,Dome Identification
65,Dome Identification
66,Dome Identification
67,Dome Identification
68,Dome Identification
69,Dome Identification
70,Dome Identification
71,Dome Identification
72,Dome Identification
73,Dome Identification
74,Dome Identification
75,Dome Identification
76,Dome Identification
77,Dome Identification
78,Dome Identification
79,Dome Identification
80,Dome Identification
81,Dome Identification
82,Dome Identification
83,Dome Identification
84,Dome Identification
85,Dome Identification
86,Dome Identification
87,Dome Identification
88,Dome Identification
89,Dome Identification
90,Dome Identification
91,Dome Identification
92,Dome Identification
93,Dome Identification
94,Dome Identification
95,Dome Identification
96,Dome Identification
97,Dome Identification
98,Dome Identification
99,Dome Identification
100,Dome Identification
101,Dome Identification
102,Dome Identification
103,Dome Identification
104,Dome Identification
105,Dome Identification
106,Dome Identification
107,Dome Identification
108,Dome Identification
109,Dome Identification
110,Dome Identification
111,Dome Identification
112,Dome Identification
113,Dome Identification
114,Dome Identification
115,Dome Identification
116,Dome Identification
117,Dome Identification
118,Dome Identification
119,Dome Identification
120,Dome Identification
121,Dome Identification
122,Dome Identification
123,Dome Identification
124,Dome Identification
125,Dome Identification
126,Dome Identification
127,Dome Identification
128,Dome Identification
129,Dome Identification
130,Dome Identification
131,Dome Identification
132,Dome Identification
133,Dome Identification
134,Dome Identification
135,Dome Identification
136,Dome Identification
137,Dome Identification
138,Dome Identification
139,Dome Identification
140,Dome Identification
141,Dome Identification
142,Dome Identification
143,Dome Identification
144,Dome Identification
145,Dome Identification
146,Dome Identification
147,Dome Identification
148,Dome Identification
149,Dome Identification
150,Dome Identification
151,Dome Identification
152,Dome Identification
153,Dome Identification
154,Dome Identification
155,Dome Identification
156,Dome Identification
157,Dome Identification
158,Dome Identification
159,Dome Identification
160,Dome Identification
161,Dome Identification
162,Dome Identification
163,Dome Identification
164,Dome Identification
165,Dome Identification
166,Dome Identification
167,Dome Identification
168,Dome Identification
169,Dome Identification
170,Dome Identification
171,Dome Identification
172,Dome Identification
173,Dome Identification
174,Dome Identification
175,Dome Identification
176,Dome Identification
177,Dome Identification
178,Dome Identification
179,Dome Identification
180,Dome Identification
181,Dome Identification
182,Dome Identification
183,Dome Identification
184,Dome Identification
185,Dome Identification
186,Dome Identification
187,Dome Identification
188,Dome Identification
189,Dome Identification
190,Dome Identification
191,Dome Identification
192,Dome Identification
193,Dome Identification
194,Dome Identification
195,Dome Identification
196,Dome Identification
197,Dome Identification
198,Dome Identification
199,Dome Identification
200,Dome Identification
201,Dome Identification
202,Dome Identification
203,Dome Identification
204,Dome Identification
205,Dome Identification
206,Dome Identification
207,Dome Identification
208,Dome Identification
209,Dome Identification
210,Dome Identification
211,Dome Identification
212,Dome Identification
213,Dome Identification
214,Dome Identification
215,Dome Identification
216,Dome Identification
217,Dome Identification
218,Dome Identification
219,Dome Identification
220,Dome Identification
221,Dome Identification
222,Dome Identification
223,Dome Identification
224,Dome Identification
225,Dome Identification
226,Dome Identification
227,Dome Identification
228,Dome Identification
229,Dome Identification
230,Dome Identification
231,Dome Identification
232,Dome Identification
233,Dome Identification
234,Dome Identification
235,Dome Identification
236,Dome Identification
237,Dome Identification
238,Dome Identification
239,Dome Identification
240,Dome Identification
241,Dome Identification
242,Dome Identification
243,Dome Identification
244,Dome Identification
245,Dome Identification
246,Dome Identification
247,Dome Identification
248,Dome Identification
249,Dome Identification
250,Dome Identification
251,Dome Identification
252,Dome Identification
253,Dome Identification
254,Dome Identification
255,Dome Identification
256,Dome Identification
257,Dome Identification
258,Dome Identification
259,Dome Identification
260,Dome Identification
261,Dome Identification
262,Dome Identification
263,Dome Identification
264,Dome Identification
265,Dome Identification
266,Dome Identification
267,Dome Identification
268,Dome Identification
269,Dome Identification
270,Dome Identification
271,Dome Identification
272,Dome Identification
273,Dome Identification
274,Dome Identification
275,Dome Identification
276,Dome Identification
277,Dome Identification
278,Dome Identification
279,Dome Identification
280,Dome Identification
281,Dome Identification
282,Dome Identification
283,Dome Identification
284,Dome Identification
285,Dome Identification
286,Dome Identification
287,Dome Identification
288,Clipping
289,Clipping
290,Clipping
291,Clipping
292,Clipping
293,Clipping
294,Clipping
295,Clipping
296,Clipping
297,Clipping
298,Clipping
299,Clipping
300,Clipping
301,Clipping
302,Clipping
303,Clipping
304,Clipping
305,Clipping
306,Clipping
307,Clipping
308,Clipping
309,Clipping
310,Clipping
311,Clipping
312,Clipping
313,Clipping
314,Clipping
315,Clipping
316,Clipping
317,Clipping
318,Clipping
319,Clipping
320,Clipping
321,Clipping
322,Clipping
323,Clipping
324,Clipping
325,Clipping
326,Clipping
327,Clipping
328,Clipping
329,Clipping
330,Clipping
331,Clipping
332,Clipping
333,Clipping
334,Clipping
335,Clipping
336,Clipping
337,Clipping
338,Clipping
339,Clipping
340,Clipping
341,Clipping
342,Clipping
343,Clipping
344,Clipping
345,Clipping
346,Clipping
347,Clipping
348,Clipping
349,Clipping
350,Clipping
351,Clipping
352,Clipping
353,Clipping
354,Clipping
355,Clipping
356,Clipping
357,Clipping
358,Clipping
359,Clipping
360,Clipping
361,Clipping
362,Clipping
363,Clipping
364,Clipping
365,Clipping
366,Clipping
367,Clipping
368,Clipping
369,Clipping
370,Clipping
371,Clipping
372,Clipping
373,Clipping
374,Clipping
375,Clipping
376,Clipping
377,Clipping
378,Clipping
379,Clipping
380,Clipping
381,Clipping
382,Clipping
383,Clipping
384,Clipping
385,Clipping
386,Clipping
387,Clipping
388,Clipping
389,Clipping
390,Clipping
391,Clipping
392,Clipping
393,Clipping
394,Clipping
395,Clipping
396,Clipping
397,Clipping
398,Clipping
399,Clipping
400,Clipping
401,Clipping
402,Clipping
403,Clipping
404,Clipping
405,Clipping
406,Clipping
407,Clipping
408,Clipping
409,Clipping
410,Clipping
411,Clipping
412,Clipping
413,Clipping
414,Clipping
415,Clipping
416,Clipping
417,Clipping
418,Clipping
419,Clipping
420,Clipping
421,Clipping
422,Clipping
423,Clipping
424,Clipping
425,Clipping
426,Clipping
427,Clipping
428,Clipping
429,Clipping
430,Clipping
431,Clipping
432,Clipping
433,Clipping
434,Clipping
435,Clipping
436,Clipping
437,Clipping
438,Clipping
439,Clipping
440,Clipping
441,Clipping
442,Clipping
443,Clipping
444,Clipping
445,Clipping
446,Clipping
447,Clipping
448,Clipping
449,Clipping
450,Clipping
451,Clipping
452,Clipping
453,Clipping
454,Clipping
455,Clipping
456,Clipping
457,Clipping
458,Clipping
459,Clipping
460,Clipping
461,Clipping
462,Clipping
463,Clipping
464,Clipping
465,Clipping
466,Clipping
467,Clipping
468,Clipping
469,Clipping
470,Clipping
471,Clipping
472,Clipping
473,Clipping
474,Clipping
475,Clipping
476,Clipping
477,Clipping
478,Clipping
479,Clipping
480,Clipping
481,Clipping
482,Clipping
483,Clipping
484,Clipping
485,Clipping
486,Clipping
487,Clipping
488,Clipping
489,Clipping
490,Clipping
491,Clipping
492,Clipping
493,Clipping
494,Clipping
495,Clipping
496,Clipping
497,Clipping
498,Clipping
499,Clipping
500,Clipping
501,Clipping
502,Clipping
503,Clipping
