frame index,label
0,Neck Identification
1,Neck Identification
2,Neck Identification
3,Neck Identification
4,Neck Identification
5,Neck Identification
6,Neck Identification
7,Neck Identification
8,Neck Identification
9,Neck Identification
10,Neck Identification
11,Neck Identification
12,Neck Identification
13,Neck Identification
14,Neck Identification
15,Neck Identification
16,Neck Identification
17,Neck Identification
18,Neck Identification
19,Neck Identification
20,Neck Identification
21,Neck Identification
22,Neck Identification
23,Neck Identification
24,Neck Identification
25,Neck Identification
26,Neck Identification
27,Neck Identification
28,Neck Identification
29,Neck Identification
30,Neck Identification
31,Neck Identification
32,Neck Identification
33,Neck Identification
34,Neck Identification
35,Neck Identification
36,Neck Identification
37,Neck Identification
38,Neck Identification
39,Neck Identification
40,Neck Identification
41,Neck Identification
42,Neck Identification
43,Neck Identification
44,Neck Identification
45,Neck Identification
46,Neck Identification
47,Neck Identification
48,Neck Identification
49,Neck Identification
50,Neck Identification
51,Neck Identification
52,Neck Identification
53,Neck Identification
54,Neck Identification
55,Neck Identification
56,Neck Identification
57,Neck Identification
58,Neck Identification
59,Neck Identification
60,Neck Identification
61,Neck Identification
62,Neck Identification
63,Neck Identification
64,Neck Identification
65,Neck Identification
66,Neck Identification
67,Neck Identification
68,Neck Identification
69,Neck Identification
70,Neck Identification
71,Neck Identification
72,Neck Identification
73,Neck Identification
74,Neck Identification
75,Neck Identification
76,Neck Identification
77,Neck Identification
78,Neck Identification
79,Neck Identification
80,Neck Identification
81,Neck Identification
82,Neck Identification
83,Neck Identification
84,Neck Identification
85,Neck Identification
86,Neck Identification
87,Neck Identification
88,Neck Identification
89,Neck Identification
90,Neck Identification
91,Neck Identification
92,Neck Identification
93,Neck Identification
94,Neck Identification
95,Neck Identification
96,Neck Identification
97,Neck Identification
98,Neck Identification
99,Neck Identification
100,Neck Identification
101,Neck Identification
102,Neck Identification
103,Neck Identification
104,Neck Identification
105,Neck Identification
106,Neck Identification
107,Neck Identification
108,Neck Identification
109,Neck Identification
110,Neck Identification
111,Neck Identification
112,Neck Identification
113,Neck Identification
114,Neck Identification
115,Neck Identification
116,Neck Identification
117,Neck Identification
118,Neck Identification
119,Neck Identification
120,Neck Identification
121,Neck Identification
122,Neck Identification
123,Neck Identification
124,Neck Identification
125,Neck Identification
126,Neck Identification
127,Neck Identification
128,Neck Identification
129,Neck Identification
130,Neck Identification
131,Neck Identification
132,Neck Identification
133,Neck Identification
134,Neck Identification
135,Neck Identification
136,Neck Identification
137,Neck Identification
138,Neck Identification
139,Neck Identification
140,Neck Identification
141,Neck Identification
142,Neck Identification
143,Neck Identification
144,Neck Identification
145,Neck Identification
146,Neck Identification
147,Neck Identification
148,Neck Identification
149,Neck Identification
150,Neck Identification
151,Neck Identification
152,Neck Identification
153,Neck Identification
154,Neck Identification
155,Neck Identification
156,Neck Identification
157,Neck Identification
158,Neck Identification
159,Neck Identification
160,Neck Identification
161,Neck Identification
162,Neck Identification
163,Neck Identification
164,Neck Identification
165,Neck Identification
166,Neck Identification
167,Neck Identification
168,Neck Identification
169,Neck Identification
170,Neck Identification
171,Neck Identification
172,Neck Identification
173,Neck Identification
174,Neck Identification
175,Neck Identification
176,Neck Identification
177,Neck Identification
178,Neck Identification
179,Neck Identification
180,Neck Identification
181,Neck Identification
182,Neck Identification
183,Neck Identification
184,Neck Identification
185,Neck Identification
186,Neck Identification
187,Neck Identification
188,Neck Identification
189,Neck Identification
190,Neck Identification
191,Neck Identification
192,Neck Identification
193,Neck Identification
194,Neck Identification
195,Neck Identification
196,Neck Identification
197,Neck Identification
198,Neck Identification
199,Neck Identification
200,Neck Identification
201,Neck Identification
202,Neck Identification
203,Neck Identification
204,Neck Identification
205,Neck Identification
206,Neck Identification
207,Neck Identification
208,Neck Identification
209,Neck Identification
210,Neck Identification
211,Neck Identification
212,Neck Identification
213,Neck Identification
214,Neck Identification
215,Neck Identification
216,Neck Identification
217,Neck Identification
218,Neck Identification
219,Neck Identification
220,Neck Identification
221,Neck Identification
222,Neck Identification
223,Neck Identification
224,Neck Identification
225,Neck Identification
226,Neck Identification
227,Neck Identification
228,Neck Identification
229,Neck Identification
230,Neck Identification
231,Neck Identification
232,Neck Identification
233,Neck Identification
234,Neck Identification
235,Neck Identification
236,Neck Identification
237,Neck Identification
238,Neck Identification
239,Neck Identification
240,Neck Identification
241,Neck Identification
242,Neck Identification
243,Neck Identification
244,Neck Identification
245,Neck Identification
246,Neck Identification
247,Neck Identification
248,Neck Identification
249,Neck Identification
250,Neck Identification
251,Neck Identification
252,Neck Identification
253,Neck Identification
254,Neck Identification
255,Neck Identification
256,Neck Identification
257,Dome Identification
258,Dome Identification
259,Dome Identification
260,Dome Identification
261,Dome Identification
262,Dome Identification
263,Dome Identification
264,Dome Identification
265,Dome Identification
266,Dome Identification
267,Dome Identification
268,Dome Identification
269,Dome Identification
270,Dome Identification
271,Dome Identification
272,Dome Identification
273,Dome Identification
274,Dome Identification
275,Dome Identification
276,Dome Identification
277,Dome Identification
278,Dome Identification
279,Dome Identification
280,Dome Identification
281,Dome Identification
282,Dome Identification
283,Dome Identification
284,Dome Identification
285,Dome Identification
286,Dome Identification
287,Dome Identification
288,Dome Identification
289,Dome Identification
290,Dome Identification
291,Dome Identification
292,Dome Identification
293,Dome Identification
294,Dome Identification
295,Dome Identification
296,Dome Identification
297,Dome Identification
298,Dome Identification
299,Dome Identification
300,Dome Identification
301,Dome Identification
302,Dome Identification
303,Dome Identification
304,Dome Identification
305,Dome Identification
306,Dome Identification
307,Dome Identification
308,Dome Identification
309,Dome Identification
310,Dome Identification
311,Dome Identification
312,Dome Identification
313,Dome Identification
314,Dome Identification
315,Dome Identification
316,Dome Identification
317,Dome Identification
318,Dome Identification
319,Dome Identification
320,Dome Identification
321,Dome Identification
322,Dome Identification
323,Dome Identification
324,Dome Identification
325,Dome Identification
326,Dome Identification
327,Dome Identification
328,Dome Identification
329,Dome Identification
330,Dome Identification
331,Dome Identification
332,Dome Identification
333,Dome Identification
334,Dome Identification
335,Dome Identification
336,Dome Identification
337,Dome Identification
338,Dome Identification
339,Dome Identification
340,Dome Identification
341,Dome Identification
342,Dome Identification
343,Dome Identification
344,Dome Identification
345,Dome Identification
346,Dome Identification
347,Dome Identification
348,Dome Identification
349,Dome Identification
350,Dome Identification
351,Dome Identification
352,Dome Identification
353,Dome Identification
354,Dome Identification
355,Dome Identification
356,Dome Identification
357,Dome Identification
358,Dome Identification
359,Dome Identification
360,Dome Identification
361,Dome Identification
362,Dome Identification
363,Dome Identification
364,Dome Identification
365,Dome Identification
366,Dome Identification
367,Dome Identification
368,Dome Identification
369,Dome Identification
370,Dome Identification
371,Dome Identification
372,Dome Identification
373,Dome Identification
374,Dome Identification
375,Dome Identification
376,Dome Identification
377,Dome Identification
378,Dome Identification
379,Dome Identification
380,Dome Identification
381,Dome Identification
382,Dome Identification
383,Dome Identification
384,Dome Identification
385,Dome Identification
386,Dome Identification
387,Dome Identification
388,Dome Identification
389,Dome Identification
390,Dome Identification
391,Dome Identification
392,Dome Identification
393,Dome Identification
394,Dome Identification
395,Dome Identification
396,Dome Identification
397,Dome Identification
398,Dome Identification
399,Dome Identification
400,Dome Identification
401,Dome Identification
402,Dome Identification
403,Dome Identification
404,Dome Identification
405,Dome Identification
406,Dome Identification
407,Dome Identification
408,Dome Identification
409,Dome Identification
410,Dome Identification
411,Dome Identification
412,Dome Identification
413,Dome Identification
414,Dome Identification
415,Dome Identification
416,Dome Identification
417,Dome Identification
418,Dome Identification
419,Dome Identification
420,Dome Identification
421,Dome Identification
422,Dome Identification
423,Dome Identification
424,Dome Identification
425,Dome Identification
426,Dome Identification
427,Dome Identification
428,Dome Identification
429,Dome Identification
430,Dome Identification
431,Dome Identification
432,Dome Identification
433,Dome Identification
434,Dome Identification
435,Dome Identification
436,Dome Identification
437,Dome Identification
438,Dome Identification
439,Dome Identification
440,Dome Identification
441,Dome Identification
442,Dome Identification
443,Dome Identification
444,Dome Identification
445,Dome Identification
446,Dome Identification
447,Dome Identification
448,Dome Identification
449,Dome Identification
450,Dome Identification
451,Dome Identification
452,Dome Identification
453,Dome Identification
454,Dome Identification
455,Dome Identification
456,Dome Identification
457,Dome Identification
458,Dome Identification
459,Dome Identification
460,Dome Identification
461,Dome Identification
462,Dome Identification
463,Dome Identification
464,Dome Identification
465,Dome Identification
466,Dome Identification
467,Dome Identification
468,Dome Identification
469,Dome Identification
470,Dome Identification
471,Dome Identification
472,Dome Identification
473,Dome Identification
474,Dome Identification
475,Dome Identification
476,Dome Identification
477,Dome Identification
478,Dome Identification
479,Dome Identification
480,Dome Identification
481,Dome Identification
482,Dome Identification
483,Dome Identification
484,Dome Identification
485,Dome Identification
486,Dome Identification
487,Dome Identification
488,Dome Identification
489,Dome Identification
490,Dome Identification
491,Dome Identification
492,Dome Identification
493,Dome Identification
494,Dome Identification
495,Dome Identification
496,Dome Identification
497,Dome Identification
498,Dome Identification
499,Dome Identification
500,Dome Identification
501,Dome Identification
502,Dome Identification
503,Dome Identification
504,Dome Identification
505,Dome Identification
506,Dome Identification
507,Dome Identification
508,Dome Identification
509,Dome Identification
510,Dome Identification
511,Dome Identification
512,Dome Identification
513,Dome Identification
514,Dome Identification
515,Dome Identification
516,Dome Identification
517,Dome Identification
518,Dome Identification
519,Dome Identification
520,Dome Identification
521,Dome Identification
522,Dome Identification
523,Dome Identification
524,Dome Identification
525,Dome Identification
526,Dome Identification
527,Dome Identification
528,Dome Identification
529,Dome Identification
530,Dome Identification
531,Dome Identification
532,Dome Identification
533,Dome Identification
534,Dome Identification
535,Dome Identification
536,Dome Identification
537,Dome Identification
538,Dome Identification
539,Dome Identification
540,Dome Identification
541,Dome Identification
542,Dome Identification
543,Dome Identification
544,Dome Identification
545,Dome Identification
546,Dome Identification
547,Clipping
548,Clipping
549,Clipping
550,Clipping
551,Clipping
552,Clipping
553,Clipping
554,Clipping
555,Clipping
556,Clipping
557,Clipping
558,Clipping
559,Clipping
560,Clipping
561,Clipping
562,Clipping
563,Clipping
564,Clipping
565,Clipping
566,Clipping
567,Clipping
568,Clipping
569,Clipping
570,Clipping
571,Clipping
572,Clipping
573,Clipping
574,Clipping
575,Clipping
576,Clipping
577,Clipping
578,Clipping
579,Clipping
580,Clipping
581,Clipping
582,Clipping
583,Clipping
584,Clipping
585,Clipping
586,Clipping
587,Clipping
588,Clipping
589,Clipping
590,Clipping
591,Clipping
592,Clipping
593,Clipping
594,Clipping
595,Clipping
596,Clipping
597,Clipping
598,Clipping
599,Clipping
600,Clipping
601,Clipping
602,Clipping
603,Clipping
604,Clipping
605,Clipping
606,Clipping
607,Clipping
608,Clipping
609,Clipping
610,Clipping
611,Clipping
612,Clipping
613,Clipping
614,Clipping
615,Clipping
616,Clipping
617,Clipping
618,Clipping
619,Clipping
620,Clipping
621,Clipping
622,Clipping
623,Clipping
624,Clipping
625,Clipping
626,Clipping
627,Clipping
628,Clipping
629,Clipping
630,Clipping
631,Clipping
632,Clipping
633,Clipping
634,Clipping
635,Clipping
636,Clipping
637,Clipping
638,Clipping
639,Clipping
640,Clipping
641,Clipping
642,Clipping
643,Clipping
644,Clipping
645,Clipping
646,Clipping
647,Clipping
648,Clipping
649,Clipping
650,Clipping
651,Clipping
652,Clipping
653,Clipping
654,Clipping
655,Clipping
656,Clipping
657,Clipping
658,Clipping
659,Clipping
660,Clipping
661,Clipping
662,Clipping
663,Clipping
664,Clipping
665,Clipping
666,Clipping
667,Clipping
668,Clipping
669,Clipping
670,Clipping
671,Clipping
672,Clipping
673,Clipping
674,Clipping
675,Clipping
676,Clipping
677,Clipping
678,Clipping
679,Clipping
680,Clipping
681,Clipping
682,Clipping
683,Clipping
684,Clipping
685,Clipping
686,Clipping
687,Clipping
688,Clipping
689,Clipping
690,Clipping
691,Clipping
692,Clipping
693,Clipping
694,Clipping
695,Clipping
696,Clipping
697,Clipping
698,Clipping
699,Clipping
700,Clipping
701,Clipping
702,Clipping
703,Clipping
704,Clipping
705,Clipping
706,Clipping
707,Clipping
708,Clipping
709,Clipping
710,Clipping
711,Clipping
712,Clipping
713,Clipping
714,Clipping
715,Clipping
716,Clipping
717,Clipping
718,Clipping
719,Clipping
720,Clipping
721,Clipping
722,Clipping
723,Clipping
724,Clipping
725,Clipping
726,Clipping
727,Clipping
728,Clipping
729,Clipping
730,Clipping
731,Clipping
732,Clipping
733,Clipping
734,Clipping
735,Clipping
736,Clipping
737,Clipping
738,Clipping
739,Clipping
740,Clipping
741,Clipping
742,Clipping
743,Clipping
744,Clipping
745,Clipping
746,Clipping
747,Clipping
748,Clipping
749,Clipping
750,Clipping
751,Clipping
752,Clipping
753,Clipping
754,Clipping
755,Clipping
756,Clipping
757,Clipping
758,Clipping
759,Clipping
