frame index,label
0,Clipping
1,Clipping
2,Clipping
3,Clipping
4,Clipping
5,Clipping
6,Clipping
7,Clipping
8,Clipping
9,Clipping
10,Clipping
11,Clipping
12,Clipping
13,Clipping
14,Clipping
15,Clipping
16,Clipping
17,Clipping
18,Clipping
19,Clipping
20,Clipping
21,Clipping
22,Clipping
23,Clipping
24,Clipping
25,Clipping
26,Clipping
27,Clipping
28,Clipping
29,Clipping
30,Clipping
31,Clipping
32,Clipping
33,Clipping
34,Clipping
35,Clipping
36,Clipping
37,Clipping
38,Clipping
39,Clipping
40,Clipping
41,Clipping
42,Clipping
43,Clipping
44,Clipping
45,Clipping
46,Clipping
47,Clipping
48,Clipping
49,Clipping
50,Clipping
51,Clipping
52,Clipping
53,Clipping
54,Clipping
55,Clipping
56,Clipping
57,Clipping
58,Clipping
59,Clipping
60,Clipping
61,Clipping
62,Clipping
63,Clipping
64,Clipping
65,Clipping
66,Clipping
67,Clipping
68,Clipping
69,Clipping
70,Clipping
71,Clipping
72,Clipping
73,Clipping
74,Clipping
75,Clipping
76,Clipping
77,Clipping
78,Clipping
79,Clipping
80,Clipping
81,Clipping
82,Clipping
83,Clipping
84,Clipping
85,Clipping
86,Clipping
87,Clipping
88,Clipping
89,Clipping
90,Clipping
91,Clipping
92,Clipping
93,Clipping
94,Clipping
95,Clipping
96,Clipping
97,Clipping
98,Clipping
99,Clipping
100,Clipping
101,Clipping
102,Clipping
103,Clipping
104,Clipping
105,Clipping
