frame index,label
0,Parent Vessel Identification
1,Parent Vessel Identification
2,Parent Vessel Identification
3,Parent Vessel Identification
4,Parent Vessel Identification
5,Parent Vessel Identification
6,Parent Vessel Identification
7,Parent Vessel Identification
8,Parent Vessel Identification
9,Parent Vessel Identification
10,Parent Vessel Identification
11,Parent Vessel Identification
12,Parent Vessel Identification
13,Parent Vessel Identification
14,Parent Vessel Identification
15,Parent Vessel Identification
16,Parent Vessel Identification
17,Parent Vessel Identification
18,Parent Vessel Identification
19,Clipping
20,Clipping
21,Clipping
22,Clipping
23,Clipping
24,Clipping
25,Clipping
26,Clipping
27,Clipping
28,Clipping
29,Clipping
30,Clipping
31,Clipping
32,Clipping
33,Clipping
34,Clipping
35,Clipping
36,Clipping
37,Parent Vessel Identification
38,Parent Vessel Identification
39,Parent Vessel Identification
40,Parent Vessel Identification
41,Parent Vessel Identification
42,Parent Vessel Identification
43,Parent Vessel Identification
44,Parent Vessel Identification
45,Parent Vessel Identification
46,Parent Vessel Identification
47,Parent Vessel Identification
48,Parent Vessel Identification
49,Parent Vessel Identification
50,Parent Vessel Identification
51,Parent Vessel Identification
52,Parent Vessel Identification
53,Parent Vessel Identification
54,Parent Vessel Identification
55,Parent Vessel Identification
56,Parent Vessel Identification
57,Parent Vessel Identification
58,Parent Vessel Identification
59,Parent Vessel Identification
60,Parent Vessel Identification
61,Parent Vessel Identification
62,Parent Vessel Identification
63,Parent Vessel Identification
64,Parent Vessel Identification
65,Parent Vessel Identification
66,Parent Vessel Identification
67,Parent Vessel Identification
68,Parent Vessel Identification
69,Parent Vessel Identification
70,Parent Vessel Identification
71,Parent Vessel Identification
72,Parent Vessel Identification
73,Parent Vessel Identification
74,Parent Vessel Identification
75,Parent Vessel Identification
76,Parent Vessel Identification
77,Parent Vessel Identification
78,Parent Vessel Identification
79,Parent Vessel Identification
80,Parent Vessel Identification
81,Parent Vessel Identification
82,Parent Vessel Identification
83,Parent Vessel Identification
84,Parent Vessel Identification
85,Parent Vessel Identification
86,Parent Vessel Identification
87,Parent Vessel Identification
88,Parent Vessel Identification
89,Parent Vessel Identification
90,Parent Vessel Identification
91,Parent Vessel Identification
92,Parent Vessel Identification
93,Parent Vessel Identification
94,Parent Vessel Identification
95,Parent Vessel Identification
96,Parent Vessel Identification
97,Parent Vessel Identification
98,Parent Vessel Identification
99,Parent Vessel Identification
100,Parent Vessel Identification
101,Parent Vessel Identification
102,Parent Vessel Identification
103,Parent Vessel Identification
104,Parent Vessel Identification
105,Parent Vessel Identification
106,Parent Vessel Identification
107,Parent Vessel Identification
108,Parent Vessel Identification
109,Parent Vessel Identification
110,Parent Vessel Identification
111,Parent Vessel Identification
112,Parent Vessel Identification
113,Parent Vessel Identification
114,Parent Vessel Identification
115,Parent Vessel Identification
116,Parent Vessel Identification
117,Parent Vessel Identification
118,Parent Vessel Identification
119,Parent Vessel Identification
120,Parent Vessel Identification
121,Parent Vessel Identification
122,Parent Vessel Identification
123,Parent Vessel Identification
124,Parent Vessel Identification
125,Parent Vessel Identification
126,Parent Vessel Identification
127,Parent Vessel Identification
128,Parent Vessel Identification
129,Parent Vessel Identification
130,Parent Vessel Identification
131,Parent Vessel Identification
132,Parent Vessel Identification
133,Parent Vessel Identification
134,Parent Vessel Identification
135,Parent Vessel Identification
136,Parent Vessel Identification
137,Parent Vessel Identification
138,Parent Vessel Identification
139,Parent Vessel Identification
140,Parent Vessel Identification
141,Parent Vessel Identification
142,Parent Vessel Identification
143,Parent Vessel Identification
144,Parent Vessel Identification
145,Parent Vessel Identification
146,Parent Vessel Identification
147,Parent Vessel Identification
148,Parent Vessel Identification
149,Parent Vessel Identification
150,Parent Vessel Identification
151,Parent Vessel Identification
152,Parent Vessel Identification
153,Parent Vessel Identification
154,Parent Vessel Identification
155,Parent Vessel Identification
156,Parent Vessel Identification
157,Parent Vessel Identification
158,Parent Vessel Identification
159,Parent Vessel Identification
160,Parent Vessel Identification
161,Parent Vessel Identification
162,Parent Vessel Identification
163,Parent Vessel Identification
164,Parent Vessel Identification
165,Parent Vessel Identification
166,Parent Vessel Identification
167,Parent Vessel Identification
168,Parent Vessel Identification
169,Parent Vessel Identification
170,Parent Vessel Identification
171,Parent Vessel Identification
172,Parent Vessel Identification
173,Parent Vessel Identification
174,Parent Vessel Identification
175,Parent Vessel Identification
176,Parent Vessel Identification
177,Parent Vessel Identification
178,Parent Vessel Identification
179,Parent Vessel Identification
180,Parent Vessel Identification
181,Parent Vessel Identification
182,Parent Vessel Identification
183,Parent Vessel Identification
184,Parent Vessel Identification
185,Parent Vessel Identification
186,Parent Vessel Identification
187,Parent Vessel Identification
188,Parent Vessel Identification
189,Parent Vessel Identification
190,Parent Vessel Identification
191,Parent Vessel Identification
192,Parent Vessel Identification
193,Parent Vessel Identification
194,Parent Vessel Identification
195,Parent Vessel Identification
196,Parent Vessel Identification
197,Parent Vessel Identification
198,Parent Vessel Identification
199,Parent Vessel Identification
200,Parent Vessel Identification
201,Parent Vessel Identification
202,Parent Vessel Identification
203,Parent Vessel Identification
204,Parent Vessel Identification
205,Parent Vessel Identification
206,Parent Vessel Identification
207,Parent Vessel Identification
208,Parent Vessel Identification
209,Parent Vessel Identification
210,Parent Vessel Identification
211,Parent Vessel Identification
212,Parent Vessel Identification
213,Parent Vessel Identification
214,Parent Vessel Identification
215,Parent Vessel Identification
216,Parent Vessel Identification
217,Parent Vessel Identification
218,Parent Vessel Identification
219,Parent Vessel Identification
220,Parent Vessel Identification
221,Parent Vessel Identification
222,Parent Vessel Identification
223,Parent Vessel Identification
224,Parent Vessel Identification
225,Parent Vessel Identification
226,Parent Vessel Identification
227,Parent Vessel Identification
228,Parent Vessel Identification
229,Parent Vessel Identification
230,Parent Vessel Identification
231,Parent Vessel Identification
232,Parent Vessel Identification
233,Parent Vessel Identification
234,Parent Vessel Identification
235,Parent Vessel Identification
236,Parent Vessel Identification
237,Parent Vessel Identification
238,Parent Vessel Identification
239,Parent Vessel Identification
240,Parent Vessel Identification
241,Parent Vessel Identification
242,Parent Vessel Identification
243,Parent Vessel Identification
244,Parent Vessel Identification
245,Parent Vessel Identification
246,Parent Vessel Identification
247,Parent Vessel Identification
248,Parent Vessel Identification
249,Parent Vessel Identification
250,Parent Vessel Identification
251,Parent Vessel Identification
252,Parent Vessel Identification
253,Parent Vessel Identification
254,Parent Vessel Identification
