frame index,label
0,Neck Identification
1,Neck Identification
2,Neck Identification
3,Neck Identification
4,Neck Identification
5,Neck Identification
6,Neck Identification
7,Neck Identification
8,Neck Identification
9,Neck Identification
10,Neck Identification
11,Neck Identification
12,Neck Identification
13,Neck Identification
14,Neck Identification
15,Neck Identification
16,Neck Identification
17,Neck Identification
18,Neck Identification
19,Neck Identification
20,Neck Identification
21,Neck Identification
22,Neck Identification
23,Neck Identification
24,Neck Identification
25,Neck Identification
26,Neck Identification
27,Neck Identification
28,Neck Identification
29,Neck Identification
30,Neck Identification
31,Neck Identification
32,Neck Identification
33,Neck Identification
34,Neck Identification
35,Neck Identification
36,Neck Identification
37,Neck Identification
38,Neck Identification
39,Neck Identification
40,Neck Identification
41,Neck Identification
42,Neck Identification
43,Neck Identification
44,Neck Identification
45,Neck Identification
46,Neck Identification
47,Neck Identification
48,Neck Identification
49,Neck Identification
50,Neck Identification
51,Neck Identification
52,Neck Identification
53,Neck Identification
54,Neck Identification
55,Neck Identification
56,Neck Identification
57,Neck Identification
58,Neck Identification
59,Neck Identification
60,Neck Identification
61,Clipping
62,Clipping
63,Clipping
64,Clipping
65,Clipping
66,Clipping
67,Clipping
68,Clipping
69,Clipping
70,Clipping
71,Clipping
72,Clipping
73,Clipping
74,Clipping
75,Clipping
76,Clipping
77,Clipping
78,Clipping
79,Clipping
80,Clipping
81,Clipping
82,Clipping
83,Clipping
84,Neck Exposure
85,Neck Exposure
86,Neck Exposure
87,Neck Exposure
88,Neck Exposure
89,Neck Exposure
90,Neck Exposure
91,Neck Exposure
92,Neck Exposure
93,Neck Exposure
94,Neck Exposure
95,Neck Exposure
96,Neck Exposure
97,Neck Exposure
98,Neck Exposure
99,Neck Exposure
100,Neck Exposure
101,Neck Exposure
102,Neck Exposure
103,Neck Exposure
104,Neck Exposure
105,Neck Exposure
106,Neck Exposure
107,Neck Exposure
108,Neck Exposure
109,Neck Exposure
110,Neck Exposure
111,Neck Exposure
112,Neck Exposure
113,Neck Exposure
114,Neck Exposure
115,Neck Exposure
116,Neck Exposure
117,Neck Exposure
118,Neck Exposure
119,Neck Exposure
120,Neck Exposure
121,Neck Exposure
122,Neck Exposure
123,Neck Exposure
124,Neck Exposure
125,Neck Exposure
126,Neck Exposure
127,Neck Exposure
128,Neck Exposure
129,Neck Exposure
130,Neck Exposure
131,Neck Exposure
132,Neck Exposure
133,Neck Exposure
134,Neck Exposure
135,Neck Exposure
136,Neck Exposure
137,Neck Exposure
138,Neck Exposure
139,Neck Exposure
140,Neck Exposure
141,Neck Exposure
142,Neck Exposure
143,Neck Exposure
144,Neck Exposure
145,Neck Exposure
146,Neck Exposure
147,Neck Exposure
148,Neck Exposure
149,Neck Exposure
150,Neck Exposure
151,Neck Exposure
152,Neck Exposure
153,Neck Exposure
154,Neck Exposure
155,Neck Exposure
156,Neck Exposure
157,Neck Exposure
158,Neck Exposure
159,Neck Exposure
160,Neck Exposure
161,Neck Exposure
162,Neck Exposure
163,Neck Exposure
164,Neck Exposure
165,Neck Exposure
166,Neck Exposure
167,Neck Exposure
168,Neck Exposure
169,Neck Exposure
