frame index,label
0,Dome Identification
1,Dome Identification
2,Dome Identification
3,Dome Identification
4,Dome Identification
5,Dome Identification
6,Dome Identification
7,Dome Identification
8,Dome Identification
9,Dome Identification
10,Dome Identification
11,Dome Identification
12,Dome Identification
13,Dome Identification
14,Dome Identification
15,Dome Identification
16,Dome Identification
17,Dome Identification
18,Dome Identification
19,Dome Identification
20,Dome Identification
21,Dome Identification
22,Dome Identification
23,Dome Identification
24,Dome Identification
25,Dome Identification
26,Dome Identification
27,Dome Identification
28,Dome Identification
29,Dome Identification
30,Dome Identification
31,Dome Identification
32,Dome Identification
33,Dome Identification
34,Dome Identification
35,Dome Identification
36,Dome Identification
37,Dome Identification
38,Dome Identification
39,Dome Identification
40,Dome Identification
41,Dome Identification
